"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Houseboat on the AmstelRiver","2016-10-19","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,2,100,2,1125,217,9,4,1,5,5,4.89,5,5,5,4.78,"f",1,0.62,1864,"Amsterdam"
"Central & bright apt (85m2) with rooftop and views","2013-04-17","within a day",100,67,"f",1,1,"t","t","Entire home/apt",4,2,2,320,3,14,349,5,2,1,5,4.8,4.4,5,5,4.8,4.8,"f",1,0.2,3145,"Amsterdam"
"Room on houseboat with private bathroom ensuite","2016-01-22","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,1,89,3,7,0,5,2,2,5,5,5,5,5,5,4.75,"f",1,0.24,2135,"Amsterdam"
"Uniek: Centrale Woning met tuin","2013-06-18","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",3,2,4,200,2,1125,119,10,0,0,4.89,5,5,5,5,4.78,4.78,"f",1,0.32,3083,"Amsterdam"
"Awesome apartment on Vondelpark","2016-12-14","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,1,4,184,2,21,0,37,0,0,4.72,4.53,4.42,4.92,4.92,4.67,4.22,"f",2,0.63,1808,"Amsterdam"
"Modern 2BR penthouse near RAI with rooftop terrace","2015-07-20","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,350,3,1124,0,7,0,0,5,4.86,5,5,5,5,4.71,"t",1,0.18,2321,"Amsterdam"
"Clean, bright and central apartment in vivid area.","2014-05-30","within a few hours",100,99,"t",2,2,"t","t","Entire home/apt",4,1,2,143,1,31,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2737,"Amsterdam"
"Room 1-Jordaan canal/Pool Table/Spa bath/Roof area","2014-02-17","within a few hours",95,70,"f",2,2,"t","t","Private room",2,1,1,96,1,1125,358,170,1,1,4.77,4.82,4.64,4.84,4.92,4.86,4.56,"f",2,2.77,2839,"Amsterdam"
"lovely Tinyhouse in big private Amsterdam garden","2018-10-03","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",2,NA,1,150,2,1125,61,1,1,1,5,5,5,5,5,5,5,"f",1,1,1150,"Amsterdam"
"Three colourful art rooms in trendy Pijp","2011-12-28","within a day",100,50,"t",1,1,"t","t","Private room",3,2,2,100,2,30,308,239,0,0,4.53,4.57,4.49,4.86,4.78,4.77,4.4,"f",1,2.34,3621,"Amsterdam"
"charmante privé studio op schip","2015-11-11","within an hour",100,100,"t",1,1,"t","t","Private room",2,NA,1,83,2,1125,129,290,12,3,4.94,4.95,4.95,4.99,5,4.7,4.73,"f",1,4.08,2207,"Amsterdam"
"Room 66 - Spacious studio in 'de Pijp', Amsterdam","2014-09-16","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,1,150,2,14,328,1,1,1,5,5,5,5,5,5,5,"t",2,1,2628,"Amsterdam"
"Amazing loft in centre of the city","2016-03-09","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,300,3,5,0,16,0,0,4.88,4.88,4.81,4.75,4.75,4.88,4.63,"f",1,0.27,2088,"Amsterdam"
"Luxurious, grande city house (170 m2) - 4 bedrooms","2015-10-17","within an hour",100,87,"f",4,4,"t","t","Entire home/apt",4,4,4,345,4,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",2,NA,2232,"Amsterdam"
"Kamer aan de mooiste gracht van Amsterdam","2019-10-17","within an hour",82,96,"f",0,0,"t","t","Private room",2,1,2,141,2,1125,336,38,29,2,4.84,4.92,4.97,4.92,4.92,4.82,4.66,"t",3,2.59,771,"Amsterdam"
"Comfortable ground floor apt. next to the Jordaan","2016-06-27","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",4,1,2,206,2,5,0,30,5,0,4.63,4.69,4.65,4.41,4.62,4.65,4.42,"t",1,0.47,1978,"Amsterdam"
"Canal-view home, right in the heart of Amsterdam.","2016-01-07","within an hour",100,89,"f",0,0,"t","t","Entire home/apt",4,3,3,261,4,1125,0,5,5,2,5,5,5,5,5,5,5,"f",1,1.36,2150,"Amsterdam"
"Geek BnB -  1 to 4 guests close to metro","2016-05-25","within an hour",100,100,"t",1,1,"t","t","Private room",4,2,2,100,3,7,47,82,10,1,4.51,4.72,4.79,4.85,4.85,4.52,4.51,"f",1,2.72,2011,"Amsterdam"
"Amazing Apartment Amsterdam RAI&Center (165m2)","2013-09-15","within a few hours",97,89,"f",7,7,"t","t","Entire home/apt",4,3,3,88,1,21,10,9,1,1,4.78,5,4.67,4.78,5,4.67,4.89,"f",2,0.59,2994,"Amsterdam"
"Antique Style B&B with Patio in Center","2013-10-14","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,1,141,2,1125,76,37,2,2,4.7,4.76,4.81,4.95,4.95,4.89,4.73,"f",1,0.51,2965,"Amsterdam"
"2 very clean, cozy and private Rooms for max.4 P.","2013-10-14","within an hour",100,100,"t",3,3,"t","t","Private room",4,2,NA,150,2,1125,298,40,0,0,4.93,4.98,4.98,4.95,4.98,4.7,4.85,"t",3,0.44,2965,"Amsterdam"
"Renovated apartment in city center,  contact-free!","2016-01-01","within an hour",100,60,"t",2,2,"t","t","Entire home/apt",2,1,1,111,1,1125,114,4,1,0,4.75,4.75,4.75,4.75,5,4.75,4.5,"f",2,0.18,2156,"Amsterdam"
"Houseboat Amsterdam City Centre","2016-07-10","within a day",100,100,"t",1,1,"t","t","Entire home/apt",4,2,2,290,2,1125,19,50,2,2,4.96,4.94,4.78,4.98,5,4.87,4.77,"f",1,0.96,1965,"Amsterdam"
"Studio room with streetview","2021-10-03","within a few hours",100,100,"f",1,1,"t","t","Private room",2,1,1,63,2,365,139,1,1,1,5,5,5,5,3,5,4,"f",2,1,54,"Amsterdam"
"Cozy appartment in the center!","2013-02-12","within a few hours",100,75,"f",1,1,"t","t","Entire home/apt",2,1,1,80,3,1124,1,61,0,0,4.67,4.87,4.75,4.7,4.92,4.61,4.43,"f",1,0.79,3209,"Amsterdam"
"Central, Exclusive Penthouse with River View","2018-11-29","within an hour",100,98,"t",5,5,"t","t","Entire home/apt",4,1,2,221,1,1125,259,122,81,9,4.87,4.77,4.89,4.84,4.86,4.89,4.59,"t",5,7.08,1093,"Amsterdam"
"Lovely Amsterdam Apartment","2014-11-29","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,115,2,30,261,29,0,0,4.86,4.89,4.82,4.96,5,4.81,4.67,"f",1,0.52,2554,"Amsterdam"
"Central & cosy apartment Amsterdam","2014-09-28","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,155,2,1125,0,9,0,0,5,5,5,4.89,4.89,5,4.78,"f",1,0.3,2616,"Amsterdam"
"Familyhouse located at canal - 20 min. from CS","2016-02-01","N/A",NA,100,"f",1,1,"t","t","Entire home/apt",4,4,5,257,5,14,53,10,1,0,4.9,5,5,5,4.7,4.44,4.67,"f",1,0.4,2125,"Amsterdam"
"Sit & Relax canalview apartment central Amsterdam","2015-10-09","within an hour",100,94,"f",1,1,"t","t","Entire home/apt",2,1,1,300,2,1125,351,6,6,3,5,5,4.83,5,5,5,4.83,"f",1,0.57,2240,"Amsterdam"
"Ship in the harbor of Amsterdam nearby the centre","2016-08-21","a few days or more",0,0,"t",1,1,"t","f","Entire home/apt",5,NA,5,175,2,7,0,76,0,0,4.85,4.9,4.61,4.96,4.97,4.67,4.77,"f",1,1.21,1923,"Amsterdam"
"Bright and cosy apartment, in a populair area.","2016-11-02","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",2,1,1,100,8,10,0,25,3,1,4.76,4.84,4.56,4.92,4.88,4.8,4.56,"t",1,0.65,1850,"Amsterdam"
"Comfortable room close to airport and city center","2018-08-09","N/A",NA,NA,"f",1,1,"t","f","Private room",2,1,1,55,2,7,0,13,0,0,4.38,4.54,4.69,4.38,4.54,4.38,4.46,"f",1,0.44,1205,"Amsterdam"
"2 colourfull, seperate rooms in cosey area Pijp!","2014-12-01","within an hour",100,100,"t",1,1,"t","f","Private room",3,2,2,124,2,60,0,309,10,4,4.83,4.9,4.89,4.91,4.94,4.82,4.7,"t",1,3.71,2552,"Amsterdam"
"Miriam's Suite Amsterdam - private rooftop studio","2014-02-01","within an hour",100,94,"t",1,1,"t","t","Private room",3,1,2,95,2,30,37,28,8,2,4.89,4.79,4.93,5,5,4.75,4.79,"t",1,1.1,2855,"Amsterdam"
"Perfect Private Studio In UNIQUE Houseboat Village!","2016-11-29","within an hour",100,100,"t",1,1,"t","t","Private room",2,1,2,76,2,365,289,43,4,2,4.51,4.7,4.67,4.77,4.79,4.3,4.38,"t",1,0.74,1823,"Amsterdam"
"Room quiet neighborhood nr centre Amsterdam","2012-09-07","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,1,65,5,21,360,253,4,2,4.79,4.87,4.83,4.92,4.95,4.48,4.65,"f",2,2.94,3367,"Amsterdam"
"Luxurious Superior Room - Amsterdam Center","2020-08-18","a few days or more",0,100,"f",0,0,"t","f","Private room",2,1,1,175,1,365,313,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",3,NA,465,"Amsterdam"
"Cozy, romantic, captain's corner in Amsterdam","2017-05-24","within an hour",100,100,"t",1,1,"t","t","Entire home/apt",2,NA,1,76,2,1125,73,189,37,8,4.94,4.89,4.95,4.97,4.96,4.83,4.78,"t",1,4.15,1647,"Amsterdam"
"Great place for exploring the best of Amsterdam!","2016-09-14","within a day",100,100,"f",1,1,"t","t","Entire home/apt",2,1,NA,140,3,1125,0,13,1,0,4.62,4.92,4.77,5,4.92,4.85,4.54,"f",1,0.48,1899,"Amsterdam"
"Unique canal view apartment - perfect location","2018-03-13","within an hour",100,80,"t",1,1,"t","f","Entire home/apt",3,2,2,268,2,26,49,24,4,2,4.92,4.92,4.92,4.79,4.88,4.92,4.63,"f",1,0.57,1354,"Amsterdam"
"Luxerious apartment close to Jordaan","2012-09-27","within a few hours",100,50,"t",1,1,"t","t","Entire home/apt",2,1,1,245,7,1125,126,25,2,0,4.92,4.96,4.84,5,5,4.84,4.76,"f",1,0.52,3347,"Amsterdam"
"B&B Central Amsterdam","2010-08-31","within an hour",90,100,"t",2,2,"t","t","Private room",4,1,3,183,3,20,329,76,10,5,4.84,4.8,4.88,4.87,4.89,4.72,4.62,"t",1,1.02,4105,"Amsterdam"
"Cosy apartment with lift near Vondelpark & city!","2013-06-17","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",2,1,1,92,2,10,0,33,4,2,4.94,4.88,5,5,4.91,4.88,4.7,"f",1,0.44,3084,"Amsterdam"
"BIG Luxury Family Home Sunny Garden","2011-06-29","within a day",100,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,699,3,30,365,3,0,0,5,5,5,5,5,5,5,"f",1,0.1,3803,"Amsterdam"
"Modern & Spacious apartment with nice garden!","2015-01-27","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,125,2,1125,0,5,2,0,4.6,4.8,4.6,5,5,4.4,4.8,"f",1,0.22,2495,"Amsterdam"
"Amsterdam familyhouse","2015-02-19","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",5,2,6,195,7,14,12,1,0,0,0,NA,NA,NA,NA,NA,NA,"t",1,0.02,2472,"Amsterdam"
"Colourful houseboat ""Johanna""","2017-06-28","N/A",NA,100,"t",1,1,"t","f","Entire home/apt",2,1,2,133,4,14,0,37,2,0,4.92,4.97,4.73,5,5,4.92,4.67,"f",1,0.86,1612,"Amsterdam"
"AMAZING NEW LUXURY SAILINGBOAT ACCOMMODATION","2017-02-01","N/A",NA,NA,"f",0,0,"t","t","Private room",9,1,5,132,2,30,155,12,12,2,4.5,4.67,3.83,4.67,4.92,4.58,4.08,"f",1,3.27,1759,"Amsterdam"
"Luxury  apartment for 4 to 6  close to the  center","2014-06-02","within an hour",100,86,"f",4,4,"t","f","Entire home/apt",4,2,5,131,2,1125,26,52,1,0,4.47,4.7,4.39,4.9,4.86,4.53,4.25,"f",4,0.61,2734,"Amsterdam"
"Cute apartment in city center of Amsterdam","2014-04-12","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",2,1,1,122,2,30,2,8,3,0,5,5,5,4.75,5,4.88,4.75,"f",1,0.14,2785,"Amsterdam"
"Bright, Colorful with Canal view @the City Center!","2011-10-09","within a few hours",100,73,"f",1,1,"t","f","Entire home/apt",2,1,2,96,4,1125,23,23,1,0,4.91,4.96,4.74,4.87,4.96,4.96,4.78,"f",1,0.59,3701,"Amsterdam"
"Comfy appartment with garden in populair East","2011-06-06","N/A",NA,0,"t",1,1,"t","t","Entire home/apt",4,2,2,199,2,7,0,38,0,0,4.84,4.95,4.82,4.92,4.97,4.5,4.66,"f",1,0.71,3826,"Amsterdam"
"BnJoy 4Pers/ Clean Cozy and Central/ StunningView!","2017-08-23","within an hour",100,98,"f",1,1,"t","t","Private room",4,2,2,108,2,30,139,151,18,5,4.72,4.75,4.81,4.93,4.91,4.94,4.46,"t",1,3.09,1556,"Amsterdam"
"Beautiful bright spacious city center apartment!","2013-08-18","within a few hours",100,26,"f",1,1,"t","t","Entire home/apt",2,1,1,171,2,1124,67,47,1,0,4.81,4.96,4.77,4.83,4.85,4.87,4.72,"t",1,0.73,3022,"Amsterdam"
"Room with canal view in windmill area + free bikes","2013-07-18","within an hour",100,97,"t",1,1,"t","t","Private room",2,1,1,77,2,10,244,540,27,5,4.9,4.92,4.96,4.95,4.97,4.79,4.82,"f",1,5.62,3053,"Amsterdam"
"Private stylish apartment with garden in the Pijp","2013-10-15","within a few hours",100,50,"t",1,1,"t","f","Entire home/apt",2,1,1,195,2,1125,26,25,10,1,4.96,4.96,4.88,5,5,4.96,4.8,"f",1,0.59,2964,"Amsterdam"
"Nice spacious room near the center of Amsterdam","2021-10-15","within a day",100,NA,"f",0,0,"t","f","Private room",2,1,2,72,10,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",2,NA,42,"Amsterdam"
"Beautiful home for design lovers","2012-05-20","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",4,2,3,155,3,10,138,1,0,0,5,5,5,5,5,5,5,"f",1,0.06,3477,"Amsterdam"
"Light groundfloor two bdrm app for peace-seekers","2013-10-19","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,3,250,2,21,61,26,0,0,4.96,4.96,5,4.96,5,4.92,4.92,"f",1,0.4,2960,"Amsterdam"
"Boutique luxery guestroom in  Quartier Latin","2021-06-11","within an hour",100,100,"f",0,0,"t","f","Private room",2,1,3,70,3,28,55,12,12,5,4.42,4.58,4.25,5,4.83,4.92,4.58,"t",1,3.5,168,"Amsterdam"
"Stylish loft in Characteristic house Center A'dam","2014-12-27","within an hour",100,100,"f",3,3,"t","t","Entire home/apt",2,1,1,129,3,30,159,6,5,4,5,5,5,5,5,5,5,"t",1,6,2526,"Amsterdam"
"Very Bright and Spacious Loft Apartment in De Pijp","2014-09-13","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,200,2,1125,0,8,0,0,4.88,4.75,5,5,5,4.88,4.75,"f",1,0.23,2631,"Amsterdam"
"36m2 studio nearby metro station Reigersbos","2017-06-16","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",2,NA,1,70,3,30,0,28,4,0,4.86,4.96,4.79,5,5,4.31,4.73,"t",1,0.53,1624,"Amsterdam"
"Spacious apartment with rooftop terrace!","2015-08-15","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,229,2,1125,0,11,0,0,4.82,4.73,4.91,5,5,4.73,4.45,"f",1,0.33,2295,"Amsterdam"
"Adam's Suite","2017-07-21","within a few hours",91,96,"f",1,1,"t","t","Private room",2,1,2,95,2,30,175,2,2,0,5,5,5,5,5,5,5,"f",5,0.98,1589,"Amsterdam"
"Spacious appartment in popular east","2008-10-12","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",3,1,2,129,2,10,0,1,0,0,5,5,4,5,5,5,5,"f",1,0.04,4793,"Amsterdam"
"Studio in the city center of Amsterdam","2011-07-19","N/A",NA,100,"t",2,2,"t","f","Entire home/apt",2,1,2,189,3,14,64,90,0,0,4.98,4.98,4.97,4.97,4.97,4.98,4.92,"f",1,2.09,3783,"Amsterdam"
"Stylish & Spacious apartment in Oud-West","2015-04-28","within a day",100,100,"f",0,0,"t","f","Entire home/apt",2,1,1,194,3,30,111,8,2,0,5,5,5,5,5,4.88,4.63,"f",1,0.32,2404,"Amsterdam"
"Stylish house with sunny garden","2015-11-14","within a few hours",100,75,"f",1,1,"t","t","Entire home/apt",4,3,3,195,3,10,63,23,1,0,4.78,4.91,4.65,4.86,5,4.59,4.73,"f",1,0.33,2204,"Amsterdam"
"B&B Reijgershof ""Barok room"" private bathroom","2013-02-18","N/A",NA,NA,"f",5,5,"t","t","Hotel room",2,1,1,85,1,1125,343,61,0,0,4.63,4.59,4.66,4.58,4.42,4.34,4.56,"t",6,0.67,3203,"Amsterdam"
"Room Canal View Westerpark","2014-05-13","N/A",NA,NA,"t",2,2,"t","f","Private room",1,1,NA,80,20,1125,0,134,0,0,4.72,4.8,4.87,4.83,4.71,4.74,4.53,"f",1,1.53,2754,"Amsterdam"
"Private apartment next to Amsterdam city centre","2016-08-17","within a day",75,60,"f",1,1,"t","t","Entire home/apt",2,1,1,90,2,1125,0,2,2,0,4.5,4.5,4,4.5,5,5,3.5,"f",1,1.3,1927,"Amsterdam"
"Holiday Suit with Private Shower and Free Parking","2019-10-02","within an hour",100,100,"f",1,1,"t","t","Private room",4,2,2,56,1,1125,19,45,16,6,4.64,4.6,4.69,4.78,4.64,4.56,4.51,"t",1,1.78,786,"Amsterdam"
"Bright corner apartment with great canal/park view","2017-07-30","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",2,1,2,45,4,14,0,4,0,0,5,5,5,4.75,5,5,5,"f",1,0.18,1580,"Amsterdam"
"Knusse studio in bijzonder pand, eigen opgang.","2015-09-13","within an hour",87,100,"f",1,1,"t","f","Private room",2,NA,NA,55,2,4,343,3,3,0,4.67,4.67,5,4.33,4.67,4.67,4.67,"t",2,1.48,2266,"Amsterdam"
"Spacious Sunny Apartment - 4p","2012-10-24","within a day",100,50,"t",1,1,"t","t","Entire home/apt",4,2,2,165,30,90,4,70,1,0,4.85,4.99,4.91,4.91,4.9,4.7,4.65,"f",1,0.83,3320,"Amsterdam"
"Bed in 6 Bed Dorm","2019-01-17","within an hour",100,100,"f",3,3,"t","t","Hotel room",1,1,1,36,1,1125,0,37,0,0,4.43,4.62,4.3,4.65,4.78,4.62,4.49,"t",3,1.41,1044,"Amsterdam"
"A beautiful, large 4 bedrooms house with a garden","2017-10-29","within a few hours",100,86,"f",1,1,"t","t","Entire home/apt",4,4,5,450,3,40,38,22,3,1,5,5,4.91,5,5,4.91,4.73,"f",1,0.5,1489,"Amsterdam"
"TWO-ONE-TWO Luxury B&B Museum Quarter Amsterdam","2019-03-03","within an hour",100,90,"t",2,2,"t","t","Hotel room",4,1,4,193,3,1125,193,24,2,0,4.92,5,5,4.92,5,4.88,4.83,"t",1,0.85,999,"Amsterdam"
"Modern apartment in family-friendly neighborhood","2012-11-04","within a few hours",100,42,"f",0,0,"t","t","Entire home/apt",4,3,2,150,3,1125,122,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,3309,"Amsterdam"
"Hotel Not Hotel: Printed House","2014-04-22","within an hour",100,100,"f",21,21,"t","t","Private room",2,1,2,86,1,1125,335,11,8,3,4.67,4.56,4.78,4.67,4.78,4.33,4.22,"t",21,0.13,2775,"Amsterdam"
"SWEETS hotel Gerben Wagenaarbrug","2018-07-20","within an hour",100,97,"t",20,20,"t","t","Entire home/apt",2,1,1,162,1,1125,283,32,6,1,4.5,4.72,4.78,4.63,4.91,4.75,4.41,"t",20,0.86,1225,"Amsterdam"
"Huis Roomolen","2018-08-23","within an hour",100,100,"t",1,1,"t","t","Private room",4,1,2,139,1,1125,238,95,37,3,5,4.96,4.99,4.99,4.99,4.97,4.82,"t",1,2.79,1191,"Amsterdam"
"Tropical Apartment in Central Canal House","2015-09-09","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,190,1,1125,0,10,0,0,5,5,5,5,4.9,5,4.7,"f",1,0.2,2270,"Amsterdam"
"Bed & Breakfast Zunderdorp, Studio 2","2017-07-16","within an hour",100,100,"t",1,1,"t","t","Private room",4,1,2,79,2,21,237,37,0,0,5,4.95,4.95,4.97,4.97,4.65,4.86,"t",6,1.37,1594,"Amsterdam"
"Studio in City Centre w priv. bathroom  ♥","2014-05-14","within an hour",100,67,"t",1,1,"t","t","Private room",1,NA,1,120,29,1125,340,1,0,0,5,5,5,5,5,5,5,"f",1,0.06,2753,"Amsterdam"
"Low leveled house with small garden","2016-04-28","within a day",100,60,"f",2,2,"t","t","Entire home/apt",3,1,NA,129,4,30,108,36,2,0,4.73,4.76,4.67,4.79,4.88,4.58,4.64,"f",2,0.57,2038,"Amsterdam"
"Spacious, recent renovated apt. | near Oosterpark","2018-02-21","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,160,3,1125,0,8,0,0,4.75,4.75,5,4.88,4.63,4.63,4.5,"f",1,0.18,1374,"Amsterdam"
"Cozy modern apartment on edge of city centre","2019-06-21","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,150,1,1125,0,3,0,0,5,5,5,5,5,4.33,5,"t",1,0.11,889,"Amsterdam"
"Large Studio close to Oosterpark (2pax)","2018-12-05","within an hour",91,96,"f",6,6,"t","t","Entire home/apt",2,NA,1,207,1,1125,330,13,6,2,4.46,4.62,4.92,3.92,4.46,4.38,4.15,"t",6,0.5,1087,"Amsterdam"
"Cute cozy small apartment Vondelpark/Leidseplein","2015-12-30","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,160,1,30,49,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2158,"Amsterdam"
"Singel Hotel Amsterdam: Twin Room Canal View","2021-04-23","N/A",NA,NA,"f",8,8,"t","t","Private room",2,1,2,164,1,360,355,5,5,2,4.4,4.8,4.4,5,5,4.8,3.8,"t",8,0.87,217,"Amsterdam"
"Cozy independent unit in the green","2018-10-02","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,90,3,4,0,3,0,0,5,5,5,5,5,5,5,"t",1,0.11,1151,"Amsterdam"
"Private room in quiet parkside neighborhood.","2019-03-04","within an hour",100,94,"f",0,0,"t","t","Private room",2,1,1,64,2,15,333,4,4,1,5,5,5,5,5,4.75,5,"t",2,2.55,998,"Amsterdam"
"Charming Bright 2BR in Central de Pijp","2013-07-25","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",3,2,2,189,3,1125,0,1,0,0,5,5,5,5,5,5,5,"f",1,0.01,3046,"Amsterdam"
"Lovely quiet fam house & garden,10 min from centre","2012-08-07","within a day",60,38,"f",1,1,"t","t","Entire home/apt",4,3,4,150,3,21,120,27,1,0,4.89,4.77,4.73,4.8,4.8,4.72,4.72,"f",1,0.35,3398,"Amsterdam"
"Mooi zolder appartement","2014-03-23","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,2,90,4,1125,0,59,0,0,4.88,4.97,4.88,4.97,4.95,4.67,4.72,"f",1,0.86,2805,"Amsterdam"
"Lovely family home in Amsterdam","2015-04-30","within a few hours",100,NA,"f",1,1,"t","f","Entire home/apt",5,3,3,300,3,14,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2402,"Amsterdam"
"kramerskamer","2015-07-21","within a few hours",100,95,"f",2,2,"t","t","Entire home/apt",2,NA,1,75,2,1125,274,390,17,6,4.68,4.82,4.56,4.85,4.84,4.84,4.6,"f",1,5.18,2320,"Amsterdam"
"Big room in spacious apartment","2017-03-13","within a few hours",100,99,"f",3,3,"t","t","Private room",3,1,2,52,2,1125,0,5,2,0,5,5,4.8,5,5,4.8,4.8,"f",3,0.38,1719,"Amsterdam"
"3 storey home next to park, 15m to central A'dam","2013-05-25","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,4,4,140,3,21,0,8,0,0,5,5,4.88,5,5,4.88,4.88,"f",1,0.2,3107,"Amsterdam"
"Luxury furnished studio, Museum Quarter Amsterdam","2013-04-17","within a day",92,38,"f",5,5,"t","f","Entire home/apt",2,NA,1,85,20,365,159,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",3,NA,3145,"Amsterdam"
"Spacious and elegant apartment, great location!","2016-08-22","within an hour",100,100,"t",0,0,"t","t","Entire home/apt",2,1,1,180,4,1125,28,5,1,0,4.8,4.4,4.2,4.8,4.8,4.8,4.8,"t",1,0.33,1922,"Amsterdam"
"Our beautiful homestay","2015-09-25","within an hour",100,92,"f",0,0,"t","f","Private room",2,1,NA,70,1,1125,320,9,2,1,4.56,4.44,5,4.67,4.89,4.56,4.56,"t",1,0.56,2254,"Amsterdam"
"5-bedrooms house; central location","2011-11-28","within an hour",100,50,"f",1,1,"t","t","Entire home/apt",12,5,12,621,2,90,205,109,0,0,4.52,4.56,4.58,4.72,4.84,4.72,4.16,"f",1,1.07,3651,"Amsterdam"
"amazing apt in the city center","2013-01-26","within a few hours",100,35,"f",0,0,"t","t","Entire home/apt",2,1,1,240,5,30,342,34,0,0,4.71,4.9,4.83,4.86,4.97,4.9,4.66,"f",1,0.5,3226,"Amsterdam"
"Family room at Historic YAYS Amsterdam Maritime","2018-10-03","within an hour",91,99,"f",6,6,"t","t","Entire home/apt",4,1,2,219,1,1125,348,35,34,4,4.54,4.43,4.77,4.74,4.4,4.31,4.23,"t",6,6.33,1150,"Amsterdam"
"Luxury two-floor apartment with roof terrace, 90m2","2016-01-31","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,180,4,14,3,14,5,0,4.93,4.93,4.86,4.93,5,4.79,4.79,"f",1,1.96,2126,"Amsterdam"
"A Loft kind of apartment in the nice area Old-West","2016-09-28","within an hour",100,75,"f",0,0,"t","t","Entire home/apt",2,1,1,108,5,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",2,NA,1885,"Amsterdam"
"Studio apartment near Central Station with garden","2012-06-12","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,NA,1,67,2,9,0,7,0,0,5,4.86,4.71,4.86,5,4.86,4.71,"f",1,0.11,3454,"Amsterdam"
"Houseboat  private studio & terrace in hip north","2018-06-12","within an hour",100,100,"t",1,1,"t","t","Private room",2,1,1,99,2,1125,332,105,32,7,4.9,4.9,4.93,4.8,4.9,4.78,4.77,"f",1,4.07,1263,"Amsterdam"
"Familyhome","2014-12-14","within a day",100,67,"f",1,1,"t","t","Entire home/apt",4,3,3,170,3,8,1,19,1,1,5,4.84,4.89,4.94,4.95,4.61,4.89,"f",1,0.37,2539,"Amsterdam"
"Big luxury house for cat lovers - Not for partying","2020-02-17","N/A",NA,80,"f",0,0,"t","t","Entire home/apt",3,2,2,329,3,1125,9,4,2,0,5,5,5,5,5,5,5,"f",1,0.24,648,"Amsterdam"
"Nice sunny apartment in A'dam west","2016-02-14","within an hour",100,90,"t",1,1,"t","t","Private room",4,1,4,75,1,1125,161,266,2,0,4.79,4.87,4.77,4.93,4.94,4.54,4.71,"t",1,3.91,2112,"Amsterdam"
