"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Light & Stylish 3 room apartment","2013-09-12","within a day",92,61,"f",3,3,"t","f","Entire home/apt",4,2,2,99,3,1125,0,1,0,0,5,5,5,5,5,5,5,"f",3,0.01,2997,"Amsterdam"
"Deluxe Double","2019-02-22","within an hour",99,99,"f",4,4,"t","t","Hotel room",2,1,1,126,1,1125,348,8,0,0,4.88,4.88,4.88,5,4.88,4.75,4.75,"t",5,0.5,1008,"Amsterdam"
"Lovely home, 3 bedr, WiFi, parking","2016-01-24","within a few hours",100,100,"f",1,1,"t","f","Entire home/apt",4,3,4,215,3,30,324,4,0,0,5,5,5,5,5,4.5,4.25,"f",1,0.16,2133,"Amsterdam"
"Modern house for rent in July with 2 cats","2014-09-17","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",2,1,1,130,14,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,2627,"Amsterdam"
"A spacious house full of sunlight","2015-02-15","within a day",100,67,"f",2,2,"t","t","Entire home/apt",4,2,3,130,3,1125,1,42,4,0,4.83,4.81,4.9,4.98,4.93,4.74,4.71,"f",1,0.53,2476,"Amsterdam"
"Spacious 4p canal apartment in perfect location","2015-06-01","within an hour",100,100,"t",1,1,"t","t","Private room",4,2,4,264,2,1124,240,112,22,5,4.79,4.77,4.76,4.92,4.89,4.94,4.54,"t",1,2.96,2370,"Amsterdam"
"Modern apt close 2 city centre. Families only!","2013-10-09","within a day",100,0,"f",1,1,"t","f","Entire home/apt",4,3,3,156,4,20,0,11,0,0,4.91,4.91,4.91,5,5,4.73,4.73,"f",1,0.22,2970,"Amsterdam"
"Hotel schip Johanna Engelina","2016-02-08","within a few hours",80,NA,"f",1,1,"t","t","Entire home/apt",16,10,33,725,2,7,176,9,0,0,4.29,4.71,4.43,3.71,4.29,4.71,4.29,"f",1,0.3,2118,"Amsterdam"
"Great 100M2 appartment with garden","2013-11-28","within a few hours",100,80,"t",1,1,"t","t","Entire home/apt",4,2,3,200,3,15,4,34,3,1,4.85,5,4.94,4.82,4.97,4.85,4.48,"f",1,0.73,2920,"Amsterdam"
"Charming and comfortable home in Amsterdam","2012-11-02","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",2,1,1,95,7,21,0,5,1,1,4.4,5,4.6,4.8,4.8,5,4.6,"f",1,0.12,3311,"Amsterdam"
"Cozy apartment close to the city center!","2020-10-14","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,112,7,30,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,408,"Amsterdam"
"Large private room next to Dam square in Amsterdam","2017-05-11","N/A",NA,NA,"f",2,2,"t","f","Private room",2,1,1,100,1,4,0,65,0,0,4.95,4.92,4.98,4.92,4.97,4.98,4.74,"f",1,1.48,1660,"Amsterdam"
